text;catgy
MENTION q escriban jnorero85MENTION.com;3
MENTION acaba escribir colega muchisimas gracias !;3
canales ecuatorianos mal trabajo ! enteramos pasa radios colombianas !;2
MENTION si conocieras no emitirias tipo comentarios . no puesto ayer hoy nunca . buena tarde;1,3
MENTION asi , descriterio ! leer entender ! contextualiza !;1
MENTION asi encontre hermano redes medios no convencionales , marco mejor anda ayudar ap bye b & ampSMILEY MENTION;1,4
MENTION vez mas URL;3
si no sabes leer limitas solo atacar MENTION no oposicion . devuelvo b & ampSMILEY oposicion sensatez;3
canales tv huevada informan temblor , casa bomba , vito , paparazi , etc , ahi rapidito informan mmvs;1
MENTION informan ? ciego simplemente imbecil ? casi todis canales hablaban temblor;1,2
MENTION galito .. pasaron casi NUMBER horas .. no decian .. solo cnn . medios locales no podian x q ley no deja;2
MENTION esperaba noticieros pleno temblor jejejejeje;3
MENTION ... cnn pudo ...;2
MENTION pidele hijo cnn;1
punto comer ... deseenme suerte URL;1
MENTION ay rico;1
MENTION no ver ... hagas hagas , porfavor no hagas reto homunculo d:;1
MENTION dicen todas;1
MENTION jajajajajajja;1
MENTION SMILEY;1
MENTION jajajajaj no gracias SMILEY;1
MENTION madre dios fernan jajajajaja URL;1
MENTION plox padres felices;3
MENTION SMILEY nooo aqui unicos podrian ser padres homunculo serian german rubiuh;1
MENTION cara retrete hora ir bano;1
MENTION URL;3
"MENTION "" beach "" ! ? "" beach "" ! ? cona verdah ?";1
MENTION no solo enfermo;3
MENTION URL;3
! animo pais ! fuerte sismo NUMBER escala richter frente costas muisne ( info . preliminar ) . autoridades estan ...;2,4
MENTION no NUMBER increible mexico sepa mas usted !;2
MENTION presidente europa NUMBER : 00am alla ... pensar poquito .;2
MENTION perdon despertarlo ! disculpe MENTION;1
MENTION falta respeto victimas meter antipatias politicas desgracia   ojala solo ignorancia no estupidez;1
MENTION escucha radio pues ! tv mas lento misma preparacion;2,3
MENTION pedazo grosero patan , presidente d nacion , db tener canales q informado catastrofe , gil;2
MENTION estan locos medios publicos informando solo buscar pueden , inoportuno comentario;1,4
MENTION respuesta ? escuchar radio ? tv ?;3
MENTION queda haciendo cosas europa ? MENTION;3
MENTION nota no sabes trabajo detras noticia , dios criticas conocimiento !;3
MENTION cosas + importantes q hacer ahora responder ignorantes uds . enfermos ojala curen .;1
MENTION canal NUMBER hablan llapingachos , gama programa comico , no mienta , solo ta pasando;1
MENTION serio ? no NUMBER anos programa aire ? ?;3
MENTION servil , deja q siga durmiendo , si minima sensibilidad deberia abordando avion ecu;1
MENTION trol center abierto despues NUMBER pm ?;1
MENTION imprudencia manda , inteligencia debe ignorar ( adios );1
MENTION aaah entonces problem aprendizaje , mil disculpas error mio;1,3
"MENTION <--- favor aplicar "" twitanasia "" borrega .";1
MENTION;3
MENTION no culpa ningun medio SMILEYmunicacion sino correa ley prohibio;2
"gracias MENTION ningun medio televisivo puede interrumpir programacion "" flash informativos """;2
MENTION mentira .. ecuavisa pasaron flash informativos .. tc medio manifestarse l ..;2
MENTION borrego defensor mejor anda comer sanduche cola desaparece;1
MENTION insulta quieras no espera mas gente miserable fanatica enferma problemas pobre diablo;1
MENTION hablo borrego salariado tirano , pendejo pago sueldo impuestos bobo;1
MENTION excepcion siempre viene despues d emergencia , pasaron + NUMBERmin . seguian novelas programa comun;2
MENTION correcto usted indica MENTION saludos;2
MENTION primero primero .. ningun canal NUMBER minutos pueden hacer .. pongase pensar montar equipo;3
MENTION senal llamar varios minutos despues .. pude q NUMBER minutos toda informacion jjj;2
MENTION no montar equipo , sino coger informar pasa hacer aca;3
MENTION ecuador no apagones normal;2
no recuerdo ultima vez terremoto mas volcan erupcion . ocurriendo ecuador mexico .;2
MENTION chile dos pan cada dia viejo;2
MENTION no , espanol . perdon confusion .;3
MENTION ah ! dale ! abrazo !;1,3
MENTION abrazo .;1
"salio serrano decir q luego d espectacular operativo , detuvieron integrantes "" movimiento telurico "" ?";1
MENTION no , ridiculo verguenza hacen ustedes demostrando solidaridad nula momento . HASHTAG;1
MENTION no anula , mentira . si auto anulacion HASHTAG fin , hoy HASHTAG unida l gente solidaria;4
MENTION no q perder tiempo . parece q terremoto colapso escrupulos d oposicion .;1
MENTION ... pasan irresponsables ... !;1
MENTION leyno prohibe , emergencia dio NUMBER horas despues URL;2
MENTION rts vivo sto domingo , apoyemos pedernales querido;2,4
MENTION pena situacion va demostrar sirve gasto publico .;2
MENTION ojala presidente no tan populista parece ecuador;1
MENTION .. respetado sr . ahora no caso topos ahora populismo , favor no disperse puntos tratar;1
MENTION disculpa si ofendi , no gusta populismo , dilma , evo , cristina ( bueno ) , maduro peor;1
MENTION sr . no malo ser opositor , malo critica conocimiento hacerlo;3
MENTION ... ahora sabe falso bla , no retwit gobierno nunca nego recibir ayuda;1
MENTION .. creo segura toda oposicion decente buena gobierno , cada vez escucho hablar ..;3
MENTION ... cada vez escucho , da compasion falta inteligencia , escucho dos lados;1,3
MENTION ... bien opositores decentes , favor parecen borreguitos partidos;1
MENTION ... nuevamente , disculpe si ofendo , no querer ofenderles;3
MENTION no borreguil ningun partido , pienso , no mencione correa , maduro indefendible , dilma ...;1
MENTION paso juicio , cristina perdio , evo no pudo eternizarse , MENTION ... solo ver pais;3
MENTION ... pido disculpas palabra , no justo ofenderle , cada vez escucho leo cosas opositoras solo ...;3
MENTION ... cada vez escucho sres opositores , solo puedo decir hice bien votar gobierno;3
MENTION derecho , democracia;3
asegurate hogar siempre protegido HASHTAG MENTION;2
MENTION parte oportunismo falta etica tragedia vive ecuador !;2
MENTION ps NUMBER casos quejado nunca dado respuesta , destacan pesimo servicio !;3
hola MENTION favor envianos datos ( nombre , apellidos , celular cedula ) inbox caso ayudarte resolverlos;3
hola MENTION poder ayudarte fundamental envies datos . pedimos disculpas manejo dado .;2
panama evalua condiciones litoral pacifico terremoto ecuador momento no prevee afectacion . URL;2
MENTION noaa si alerto olas menos NUMBER mtr;2
MENTION alerta i icial seguimiento valido .;2
MENTION informacion no valida .;3
MENTION buena hora responden increible q despues q pma . aparece lista aqui pag sinaproc no habia ninguna informacion;3
MENTION no habiamos visto tuit . siento .;3
MENTION informo sinaproc anuncio no habia peligro panama tiempo despues sismo .;2
luego terremoto ecuador entra erupcion volcan colima ... URL;2
MENTION ... bueno catastrofes eligieran pais ... SMILEY;1
MENTION bien weon comentario;1
"MENTION ... gracias . simbolo "" SMILEY "" significa talla ... mas . no ponerse grave . saludos .";1,3
MENTION ubicarse hacer bromas , claro ser graves fallecen NUMBER personas !;2
MENTION bajo contexto d humor puede tocar cualquier tema . no + censura x chistes curados , gays , catastrofes , feos , religion , etc;1
MENTION jajajjajajaja ridiculo SMILEY;1
? serio quieren metro elevado penalosa ? ... estructura elevadas colapsaron hoy terremoto ecuador : URL;2
MENTION pensandolo bien , metro subterraneo tampoco ...;3
MENTION misma hipotesis elevados caen , asegura subterraneos no colapsen ? naturaleza no respeta;3
MENTION podria descarrilarse , aunq no caeria NUMBERm altura elevado . elevado recibe efecto pendulo q subte no sufre .;3
MENTION relativo , llegada auxilio organismos socorro seria mas rapida efectiva superficie subterraneo;3
MENTION japon paises mas riesgo sismico mundo tambien extensa red tramos subterraneos metro .;2
MENTION no si japon bogota sectores humedal , llamaban lagunas pantanos , seria bueno mirar .;2
MENTION claro , vital . mira dicen metro angeles : URL;2
MENTION investigar san petesburgo rusia .;2
revision final terremoto ecuador magnitud NUMBER , 7 mw . alerta tsunami extiende . pacifico URL;2
MENTION : supongo NUMBERcm NUMBERm no deberia ser preocupante ? correcto ?;3
MENTION saludos jorge HASHTAG HASHTAG NUMBER grados fuerte .;2
MENTION autoridades descartado tsunami alerta estimado amigo , abrazo distancia .;2
MENTION : bueno , alegro entonces . lamento temblor victimas . gracias . saludos cordiales suerte !;4
carguen celulares , xq si terremoto , q tuitear arrancar vidas .;1
MENTION bateria recargable cartera;1
MENTION bien ! si arranca pa terremoto , siempre glamour , cartera mano .;1
MENTION puse pijama polar ropa interior . HASHTAG;1
MENTION buen punto ! hice ( ropa interior ) NUMBER meses despues NUMBERf . tenia mochila d emergencia lado d puerta .;1
MENTION idem;1
MENTION velas , ropa , conservas , galletitas . jajajaj kit basico . ah ! maquillaje .;1
MENTION MENTION bolso emergencia , nana robo plata ! paaavvvrrreee;1
MENTION verdad ! ql ...;1
dios bendiga . juntos saldremos adelante . contacto .;4
MENTION respuesta alcalde ? dios bendiga ? contacto ? wtf;1,2,4
MENTION chugcha quieres diga . HASHTAG;1
MENTION - } MENTION lee tw MENTION;2
. MENTION no dice util , solo indirectas correa palabreria hacerse bacan;1
resumo : HASHTAG japon ecuador . HASHTAG mexico enoja suave villarrica HASHTAG uruguay .. URL;2
MENTION ecuador , terrible;4
MENTION conmocion mas , muertos , normalizandose .;2
MENTION lastima aquellos sufren , fuerza animo recuperen pronto . SMILEY saludos !;4
momentos panico vivieron ecuador terremoto noche . URL;2
ecuador resando [ ? ];4
MENTION terremoto , horrible;2
MENTION si situacion peor , robado NUMBER camiones llevaban donaciones afectados ...;3
MENTION horror;3
dios mio , recien viendo pasando . favor mucha calma recemos toda gente HASHTAG .;2,4
MENTION favor oremos pais;4
MENTION terremoto , asustados ):;2
MENTION temblor , NUMBER muertos danos materiales h posiblemente replicas;2
MENTION HASHTAG;2
MENTION gracias millon gracias tenernos oraciones;4
MENTION omg va bien;4
MENTION esperamos , no aya replicas ):;4
MENTION sii;4
MENTION dios quiera no den mas ): ayudenos rezar pais;4
MENTION claro estan oraciones;4
mas pronto podemos regresar NUMBERh 00 hora roma , NUMBERh 00 hora ecuador . llegaremos tarde . ! animo !;2
MENTION alcalde guayaquil tambien quiere venir espana ... si viene trayendo , seria gran gesto;1
MENTION dios bendiga !;4
MENTION ... muchas gracias ... dios bendiga tambien;4
MENTION gracias ! argentina pasando mal amigo !;4
MENTION asi viendo viene problema mayusculo alla .. fe ... dios proveera;4
MENTION espero diego . macri fundiendo pais abrazo;3
MENTION gracias ... oso tambien ... dios guarde;3
mapa : terremoto HASHTAG m7 . 8 subduccion , placa nazca hunde bajo sudamericana ! URL;2,4
MENTION movimiento placas , hunde bajo placa , normal;2
MENTION problema sido solo NUMBERkm;2
MENTION malo bueno ?;3
MENTION menos profundo , mas intensidad superficie;3
MENTION profundo no ?;3
MENTION no , bastante superficial URL;3
MENTION normalmente profundidad NUMBERkm , asi imaginate;2
MENTION ah entiendo , gracias;3
terremoto pais informacion tenes buscar twitter das cuenta anda mal .;2
MENTION basta politica , menos hoy;1
MENTION aplicate cuento menos demagogia;1
MENTION parece mejor q sigan entreteniendo lugar informar ? ser serio medio terremoto ? no jodas !;1
MENTION joder , twitter hilar fino hora comentar informar saca contexto mal interpreta;1
MENTION veo . error;1
MENTION;1
terremoto guatemala tsunami colombia , costa rica ecuador tornado uruguay venezuela gota agua .;2
MENTION quieres ? desastre natural jodernos mas ?;1
MENTION tipo comentarios pasa imbecil quiere hacerse popular redes;1
MENTION llora pues guebon;1
MENTION habla mariquito queriendote hacer popular redes jaja;1
MENTION mameme guevo bien mamao , bruja ! pendiente sapo;1
sido sismo NUMBER dicen sismo sientio terremoto;2
MENTION papa dios bendiga proteja ... oraciones estan ustedes .;4
MENTION gracias amiguito creeme necesitamos;4
MENTION feo ... q tener fe pedirle papa dios q cuide proteja , abrazo guatemala;4
MENTION , tambien pasado similar si feo ... per dios primero , manana sera gran dia;3,4
MENTION amen asi positivos pesar miedo;4
entrandome pasando ecuador . espero esten bien , estan oraciones;2,4
MENTION muchas gracias sebas , lamentable SMILEY;4
MENTION sismo fuerte;3
MENTION parte ?;3
MENTION hoy casi NUMBERpm creo sintio mas fuerte guayaquil;2
MENTION no , ecuador , no cerca principales zonas afectadas;3
MENTION no sismo   terremoto , puente cayo carro . caos .;2
MENTION si estoybirn gracias dios , asuste , peor eSMILEYeriencia toda vida .;3
MENTION bueno;3
MENTION gracias dios cali colombia aca sintio temblor;3
MENTION esperemos no suceda peor SMILEY;3
MENTION aca salinas terrible;2
MENTION aqui twitter ( ?;3
MENTION bien ? danos fuertes ?;3
MENTION no , gracias dios aca no , ?;3
MENTION uy bueno , mexico [ ? ];3,4
MENTION mas fuerte manabi , portoviejo , pedernales URL;2
MENTION mas fuerte manta tarqui cayeron edificios;2
MENTION no comida venden caro bidon agua NUMBER;3
video terremoto ecuador : URL ecuatorianMENTION audiencia , ? estan todMENTION bien ? favor reportense .;2
MENTION droos NUMBER fallecidos;2
MENTION ahora mas tranquila .. bien momento gracias preguntar;3
MENTION imagino susto llevaron . animos . amiga . espero no alla afectado : c;3,4
MENTION , imagino , ojala no vengan mas replicas .;4
MENTION alegra estes bien . amiga alla . no responde . quito : c;3
MENTION espero bien;3
MENTION mismo espero :'( fuerza hermana latina .;3,4
MENTION dios ustedes familia ecuatoriana;4
MENTION familia guatemalteca estan ustedeslo pedimos dios vuelva normalidad;4
no pued ocultar verdad , NUMBERero dijeron HASHTAG medios internacionales confirmaban HASHTAG;2
MENTION terremoto;2
MENTION claro medios comunicacion demas entidades solo dijeron HASHTAG;2
MENTION pueden servir si tremenda magnitud ! comentario inoportuno no ayuda;2
MENTION no desplomo , no funcional !;2
terremoto ecuador tornado uruguay erupcion volcan colima mexico agua nervioso ? naaa URL;1,2
MENTION agua ? pfff sufrimiento mas graaandeee : w;4
MENTION tan joven tan agrio ...;1
MENTION no trata ser agrio . comparar terremoto falte agua muestra no tener comun ignorancia .;1
MENTION ... nino razon ...;1
MENTION tipico capitalino ... saludos ultimo epicentro / terremoto chile , coquimbo . NUMBER anos SMILEY;1
solidaridad ecuador HASHTAG MENTION URL;4
MENTION estaras l carrera lena dura quilmana;1
MENTION obvio no lorena apoya ht mejor senor pasado;1
MENTION janeth shh acuerdate amiga HASHTAG;1
MENTION HASHTAG perdon amiga meda rabia;1
MENTION rabia;1
MENTION tranquila yate enteraras solo no incomodes senor ale;1
MENTION HASHTAG SMILEY;1
solidaridad hermanos vecino pais ecuador vienen sufriendo consecuencias fuerte terremoto .;4
MENTION sudamerica sufriendo , ecuador terremoto , venezuela atormentado x maduro , chile brasil amenazado x comunismo , dios protejenos !;2,4
MENTION keiko gesto solidarisarte ecuador demuestra buena persona .. sigue adelante;4
MENTION keiko recontranoble , iran dando cuenta d;4
MENTION si chanito .. siempre bueno decirlo q gente sepa;4
MENTION q tener mucha fe .. mandarle muchas buenas vibras keiko;4
MENTION q q piensan u opinan diferente segun cerebro tarados no democratas;1
MENTION necesitas bano , cerca huaringas banate;1
MENTION ? japones ? namiejorenquio , wakata ,;1
MENTION t jode q gano keiko , seguro terruco oterruca , ah verdad q huevo no ?;1
MENTION zul nombre d hombre , mujer gay ?;1
MENTION marica hombre mujer no interesa mas importante q cerebro;1
MENTION palabras eSMILEYresiones adolecente ... , si madre d q mataron cantuta .. ?;1
MENTION cosa ganar batalla cosa ganar guerra;1
MENTION oye basura , vi cuenta , t gusta cagada d familia presidencial , mafiosa titere , razon igual;1
MENTION sabes cantuta barrios altos , pensando asesinos terroristas;1
MENTION claro q recontraterrucos q pasa q MENTION amante pareja presid.mira cuenta .;1
"MENTION gino mira : "" gusta "" d cuenta tweeter d MENTION";1
MENTION amigo mio formaba parte grupo elite intervino vidas;1
MENTION ojala lleve fruta esten carcel yenni vilcatoma encargara;1
MENTION vivi trabaje NUMBER anos japon japon apellido fujimori verguenza nacional;3
MENTION japoneses NUMBER - 04 keiko primera japon;3
MENTION elecciones , NUMBER abril , segun dijeron amigos radicados japon;3
MENTION sr gustaria tener patria aquello q significa verguenza nacional d ... URL;1
MENTION sabes q padre botaron q manifestacion miles japonases q ... URL;3
cita tuit ultimas palabras dejarias nuevas generaciones despues deceso posible terremoto hoy .;4
MENTION no parece paranoico tema canson ?;1
MENTION si , cuenta;1
MENTION asi pone gente pierde vida . empiezn tuitear cualqier estpidez sntirse bn .;1
MENTION no voy dar uf andres hacerle comentario ... pareceria pendejada !;1
MENTION joder trina no pendejada , aja , no .;1
"MENTION pues no . dice apostol : "" si , cuenta "" .";1
MENTION entonces siga jodiendo estupidez gente trina sentirse bien pierden vida .;1
MENTION ok , hare . ud siga defendiendo estupidos tuitean llamar atencion .;1
ley comunicacion basura pertenece URL;1
MENTION ? articulos especificamente ? pregunto desconozco relacion catastrofes-ley comunicacion . gracias responder .;3
"MENTION seguridad diran . "" interpretacion "" q dan sancionar ve tiempo , censura previa";3
MENTION no solamente declara excepcion sucedio hoy casi NUMBERh despues;3
MENTION utilizacion q da loc sancionar medios x cualquier cosa;3
MENTION entonces medios d comunicacion acogieron censura previa efectos d seguridad d , decidieron no informar ( 1 );3
MENTION no , persecucion q hace q miedo informar . mira URL;3
terremoto ecuador ocurrio zona brecha sismica actividad hace NUMBER anos , entonces NUMBERmw NUMBER / 01/1906 .;2
MENTION luego entonces brecha acapulco , guarda escenario similar tiempo , ? pudiera ser magnitud mayor ?;2,3
MENTION desplazamiento placa cocos gro , extension brecha tiempo inactividad estima + -8.2 mw ,;2
MENTION NUMBER replica dia ? cuanto ?;2
MENTION NUMBERmw NUMBERmw respectivamente , no ocurrieron brecha guerrero , sino lazaro cardenas michoacan .;2
MENTION gracias dato , preguntaba no epicentro sino hacer comparativo magniudes :;2
MENTION NUMBER ) ahorita ecuador replica NUMBER NUMBER ) espera aqui seria arriba principal NUMBER;2
solidaridad preocupacion hermano pueblo ecuador disposicion brindar apoyo necesario .;2,4
MENTION vaya fin dijeron ? aunque maneja cuenta personal !;1
MENTION parece genial , recuerdo victimas terremoto NUMBER pisco todavia esperan ayuda;2
MENTION oye mequetrefe diste pesame c / u familias heroes caidos vrae . ?;1
MENTION respeto alta investidura presidente;3
MENTION mequetrefe problema ? no comparto salameria ajena;1
MENTION lameculo q regala bolsitas viveres = > compra dinero boba;1
MENTION hdp q seguro habres piernas x punado soles;1
MENTION salio fujimorismo rastrero abyecto aberrante;1
"MENTION tal vez no habia "" luz verde "" decir ... siempre esperar disposiciones "" alto mando """;1
MENTION no sigan ardidos alanistas , mejor desaparezcan igual jefe , cadaver politico;1
"MENTION "" cosito "" ? vaya pongase pantalones !";1
MENTION lloran apristas , vayan consolar liberador narcos;1
MENTION sabemos va terminar hobierno nadie atrevido hacer respecto;2
MENTION comunico q garcia termino gobierno q mundo vives;2,3
MENTION lee bien , comprension lectora . hablo ollanta va terminar gobierno continue previo tweet;3
terremoto fuerte ecuador . ningun canal noticias informa . unico telesur . coberturas senal imprescindible .;2
MENTION telecentro no .;2
MENTION si URL;3
MENTION basico NUMBER canales . MENTION;3
MENTION analogico ? ah digital basico;3
MENTION nivel . cristina , sacaron cnn pusieron telesur . ahora mau sacaron telesur , volvio cnn ...;3
MENTION NUMBER . incluso todavia telecentro tda;3
creo susto mas grande vida ... pinshi temblor casi terremoto HASHTAG;1,4
MENTION carajos;1
MENTION terremoto aca bro;3
MENTION NUMBER creo , bien fuerte u . u;3
MENTION NUMBER , 6 NUMBER , 8 enserio horrible;3
MENTION sii mas menos magnitud , peor susto u . u;3
MENTION peor , muy.horrible ayyy SMILEY;3
asi vivio sismo magnitud NUMBER ecuador URL;2
MENTION gente alla calmada , no mas minima idea medidas seguridad sismo;2
MENTION no acostumbrados tipo cosas , , no prepatados lastimosamente .;2
MENTION visto videos llamo atencion quedan mirando no resguardan;2
MENTION desesperacion ineSMILEYeriencia tal , gente queda paralizada saber hacer;2
MENTION igual NUMBER anos ultimo terremoto , razon asi , desesperacion paraliza;2,4
toda fuerza animo ecuador . familia mucha luz , estais pensamiento !;4
MENTION , lei . suponia cualquier sabe . vamos . chiquito sido joio . gracias !;1
MENTION no . des;1
MENTION darlas .;1
toda solidaridad pueblo ecuador MENTION , venezuela bolivariana listos activar apoyo necesario ..;4
MENTION diria usted sta pisani paro petrolero guarimbas ?;1
MENTION predijo momento realidad .. si seguian gobernando destruirian pais asi;1
MENTION s u discurso doble rasero , igual ley amnistia reconciliacion crimen !;1
MENTION mejor no sigo respondiendo usted trabaja laboratorio comunicacional defiende indefendible;1
MENTION podria decir mismo usted , acuerdo , no vamos llegar . feliz tarde . besito !;1
MENTION si solidaridad oscuridad casa claridad calle , ignorancia mucha .;1,4
MENTION dijo ali primera q hacer mas humana humanidad ... saludos feliz tarde hermano ...;4
MENTION carlos palacio ud bien NUMBER parece no ve pasa vlza;1
MENTION discutas ignorantes baja nivel , tal carlos estupido;1
MENTION verdad showcero insensible escualido ser animales comportan .;1
MENTION suerte companera pronto caeran;1
MENTION bueno vale esperando . malo contar pollos nacer .;1
MENTION NUMBER diciembre hablamos vamos ver , poder podran pueblo .;1
MENTION sabes enganaron ivan acabar colas amanecera veremos t digo .;1
MENTION cuentense vean ... numeros hablan si solo;1
MENTION dije amanecera veremos puede salir tiro x culata . fin chao .;1
inaudito MENTION cadenanacional corregir color d calzoncillo d correa emergencia magnitud , pio HASHTAG;1
MENTION informate revisando twitter ignorante .. no culpa sucedan estan cosas no estee;1
MENTION si , culpa dl sr . , si no , comunican rapidamente , si q pasar filtro , crees q entero , ! ? .;2
MENTION si igual fuentes comunicacion no entiendo hacen escandalo;2
MENTION NUMBER-y gente desesperada , zonas afectadas reciba informacion ... URL;2
MENTION envianos oraciones ecuador HASHTAG;4
MENTION angeles pido favor ! mucha oracion hermanos ecuador , jesus ten misericordia ! tomalos mano;4
MENTION dios ponga mano ecuador . dios pode todas cosas ... oremos ...;4
MENTION aqui eu kk;1
MENTION;1
MENTION;1
terremoto ecuador NUMBER grados fotos videos URL;2
MENTION recien llego energia casa , tremendo sismo ecuador;2
MENTION fuerte , mas pedernales vive familia MENTION ! lamentable ! casa remecio feo .;2,4
MENTION triste pedernales ... gquil derrumbes caidas puentes NUMBER personas muertas ahora;2
MENTION NUMBER personas resultados pais , si puente viviendas destruidas !;2
MENTION si triste ... oracion ... pedernales mas preocupante .;2,4
voy hacer lista cosas tragicas sucedido dia hoy .;2
NUMBER . - terremoto ecuador NUMBER . - erupcion volcan mexico NUMBER . - erupcion volcan chile NUMBER . - arruino stream dan NUMBER . - murio venezolano;2
NUMBER . - sigue existiendo isis NUMBER . - aun siguen llegando refugiados eu NUMBER . - no salido aun segunda temporada no game no life;1
NUMBER . - MENTION queda NUMBER % bateria NUMBER . - maduro sigue siendo presidente NUMBER . - no confirma wigetta NUMBER . - capitalismo sigue reinando;1
NUMBER . - MENTION no sabe aun timo vere manana NUMBER . - capriles aun usa blackberry NUMBER . - no pasa caribe;1
MENTION espera significa mierda pasa .;1
MENTION NUMBER . - timo coloco tweet serio;1
MENTION aun no entiendes puto fin mundo ? !;1
MENTION ? ! aun sigues superandote idiota ! ?;1
MENTION calmese , hace mal corazon;1
MENTION vamos beo;1
sismo terremoto ? investiguen termino cada informen bien , HASHTAG;4
MENTION terremoto NUMBER;2
MENTION sitios noticias manejaban sismo si terremoto entonces si grave;2
MENTION demasiado fuerte decir solo sismo creo aclararon varios sitios;2
MENTION movimiento d tierra terremoto trepitatorio ( arriba abajo ) ninguna nacion preparada , solo jp;2
MENTION :/ danos aqui graves centros comerciales literalmente destrozados puente cayo costo vida;2
MENTION persona sectores aun aqui siguen luz registrado varios muertos : (;2
mamita ... dias twitter noticias mas graves : sexto joven q murio droga terremoto muertos bye;1
MENTION si tina ! horrendo dia !;4
MENTION horrendo , agresivo , colmo tercero termina gritando julio barbaro fin ( q seguir cocina );1
MENTION no hagas caso tina ! grito ? q distinguir gritos .. voces ... q gritan , casi nunca razon;1
MENTION no idea , verdad va pasar creo espero;1
MENTION si . cosas momento . no debe contento acompanar am , disminuyeron muchisimos seguidores .;1
bueeenas ! tarde alegra ver encantado videos hoy !;1
"MENTION * ignacio responde "" ok "" *";3
MENTION jajajajajaa peor capaz shoro;1,3
MENTION conocemos ignacio pies cabeza * bardeaba whatsapp * ahre sabes;1
